,ASX code,Company name,Security type,ISIN code,hashtags,cashtags
247,AWN,AWN HOLDINGS LIMITED,ORDINARY FULLY PAID,AU000000AWN0,#AWN,$AWN
248,AXI,AXIOM PROPERTIES,ORDINARY FULLY PAID,AU000000AXI8,#AXI,$AXI
249,AXP,AXP ENERGY LTD,ORDINARY FULLY PAID,AU0000162950,#AXP,$AXP
250,AZS,AZURE MINERALS,ORDINARY FULLY PAID,AU000000AZS2,#AZS,$AZS
251,BBN,BABY BUNTING GRP LTD,ORDINARY FULLY PAID,AU000000BBN2,#BBN,$BBN
252,BPP,BABYLON PUMP & POWER,ORDINARY FULLY PAID,AU000000BPP7,#BPP,$BPP
253,BTI,BAILADOR TECH INV,ORDINARY FULLY PAID,AU000000BTI4,#BTI,$BTI
254,BMM,BALKANMININGANDMIN,ORDINARY FULLY PAID,AU0000157455,#BMM,$BMM
255,BMR,BALLYMORE RESOURCES,ORDINARY FULLY PAID,AU0000156796,#BMR,$BMR
256,BOQ,BANK OF QUEENSLAND.,ORDINARY FULLY PAID,AU000000BOQ8,#BOQ,$BOQ
257,BMN,BANNERMAN ENERGY LTD,ORDINARY FULLY PAID,AU000000BMN9,#BMN,$BMN
258,BAP,BAPCOR LIMITED,ORDINARY FULLY PAID,AU000000BAP9,#BAP,$BAP
259,BD1,BARD1 LIFE SCIENCES,ORDINARY FULLY PAID,AU000000BD12,#BD1,$BD1
260,BDC,BARDOC GOLD LTD,ORDINARY FULLY PAID,AU0000032377,#BDC,$BDC
261,BGD,BARTONGOLDHOLDINGS,ORDINARY FULLY PAID,AU0000153215,#BGD,$BGD
262,BSE,BASE RES LIMITED,ORDINARY FULLY PAID,AU000000BSE5,#BSE,$BSE
263,BAS,BASS OIL LTD,ORDINARY FULLY PAID,AU000000BAS3,#BAS,$BAS
264,BSR,BASSARI RESOURCES,ORDINARY FULLY PAID,AU000000BSR7,#BSR,$BSR
265,BMO,BASTION MINERALS,ORDINARY FULLY PAID,AU0000136046,#BMO,$BMO
266,BRL,BATHURST RES LTD.,ORDINARY FULLY PAID,NZBRLE0001S4,#BRL,$BRL
